2026年广州市普通高中名额分配结果,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
序号,代码,初中学校,,,,"名额
考生",,,省市名额,,,"区属
名额",,,华附石牌,,华附知识城,,省实荔湾,,省实白云,,广雅荔湾,,广雅花都,,执信越秀,,执信天河,,"二
中",,六中海珠,,六中从化,,六中花都,,侨中,,协和,,广附,,"铁
__
越
秀",,"铁
__
番
禺",,"铁
__
白
云",,广州外国语,,清湾智谷,,清湾智慧城,,"__
中",,四中,,,南海中学,,,西外,,真光本部,,真光汾水,,真光广钢
13 ,01 1418,广州市花都区花东镇迳口初级中学,,,,147 ,,,7 ,,,30 ,,,0 ,,,0 ,,0 ,,0 ,,0 ,,1 ,,0 ,,0 ,,1 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,2 ,,1 ,,0 ,,,1 ,,1 ,,7 ,,4 ,,,4 ,,,3 ,,8 ,,4 
14 ,01 1419,广州市花都区花东学校(联安校区),,,,125 ,,,6 ,,,26 ,,,0 ,,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,1 ,,1 ,,2 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,1 ,,1 ,,0 ,,,0 ,,0 ,,5 ,,1 ,,,7 ,,,2 ,,7 ,,4 
15 ,01 1420,广州市花都区花山镇花山初级中学,,,,444 ,,,23 ,,,92 ,,,1 ,,,1 ,,0 ,,4 ,,2 ,,1 ,,2 ,,1 ,,2 ,,0 ,,0 ,,1 ,,3 ,,2 ,,0 ,,0 ,,0 ,,1 ,,1 ,,,0 ,,1 ,,10 ,,7 ,,,18 ,,,15 ,,26 ,,16 
16 ,01 1423,广州市花都区花山镇华侨初级中学,,,,303 ,,,25 ,,,63 ,,,0 ,,,0 ,,1 ,,0 ,,2 ,,0 ,,1 ,,0 ,,1 ,,1 ,,0 ,,3 ,,10 ,,0 ,,2 ,,1 ,,1 ,,1 ,,0 ,,,0 ,,1 ,,12 ,,4 ,,,13 ,,,10 ,,12 ,,12 
17 ,01 1424,广州市花都区梯面镇梯面初级中学,,,,72 ,,,4 ,,,15 ,,,0 ,,,0 ,,0 ,,0 ,,0 ,,0 ,,1 ,,0 ,,0 ,,1 ,,0 ,,0 ,,1 ,,0 ,,1 ,,0 ,,0 ,,0 ,,0 ,,,0 ,,0 ,,1 ,,3 ,,,3 ,,,1 ,,3 ,,4 
18 ,01 1425,广州市花都区狮岭镇芙蓉初级中学,,,,90 ,,,5 ,,,19 ,,,1 ,,,0 ,,0 ,,0 ,,0 ,,1 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,2 ,,0 ,,0 ,,1 ,,0 ,,,0 ,,0 ,,2 ,,1 ,,,8 ,,,1 ,,5 ,,2 
19 ,01 1426,广州市花都区狮岭中学,,,,238 ,,,12 ,,,57 ,,,1 ,,,0 ,,0 ,,0 ,,0 ,,3 ,,1 ,,0 ,,0 ,,0 ,,1 ,,0 ,,2 ,,0 ,,0 ,,0 ,,0 ,,2 ,,0 ,,,1 ,,1 ,,9 ,,5 ,,,5 ,,,19 ,,10 ,,9 
注:各初中学校分得的名额分配计划已包含面向集团直接分配的名额.                                                                                                                                                      2026_05_12 15:21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
序号,代码,初中学校,,,,名额考生,,省市名额,,,区属名额,,,华附石牌,华附知识城,,,省实荔湾,,省实白云,,广雅荔湾,,,广雅花都,,执信越秀,,执信天河,,"二
中",,六中海珠,,六中从化,,,六中花都,,侨中,,协和,,广附,,"铁
__
越
秀",,"铁
__
番
禺",,"铁
__
白
云",,广州外国语,,,清湾智谷,,清湾智慧城,,秀全,,邝维煜本部,,,,邝维煜雅正,,新华中学,,"花
都
__
中",,圆玄
20 ,01 1427,广州市花都区狮岭镇狮峰初级中学,,,,385 ,,20 ,,,93 ,,,0 ,0 ,,,0 ,,0 ,,1 ,,,3 ,,0 ,,4 ,,1 ,,1 ,,1 ,,,0 ,,1 ,,1 ,,2 ,,1 ,,0 ,,1 ,,3 ,,,0 ,,0 ,,22 ,,7 ,,,,20 ,,16 ,,17 ,,11 
21 ,01 1428,广州市花都区花城街长岗初级中学,,,,251 ,,13 ,,,60 ,,,1 ,2 ,,,0 ,,0 ,,1 ,,,1 ,,2 ,,0 ,,1 ,,2 ,,0 ,,,1 ,,0 ,,1 ,,0 ,,0 ,,0 ,,0 ,,1 ,,,0 ,,0 ,,13 ,,8 ,,,,7 ,,11 ,,10 ,,11 
22 ,01 1429,广州市花都区狮岭镇冯村初级中学,,,,96 ,,5 ,,,20 ,,,1 ,0 ,,,0 ,,0 ,,0 ,,,0 ,,0 ,,0 ,,1 ,,0 ,,1 ,,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,2 ,,,0 ,,0 ,,6 ,,2 ,,,,4 ,,2 ,,5 ,,1 
23 ,01 1430,广州市花都区秀全中学附属赤坭中学(巴江校区),,,,148 ,,7 ,,,36 ,,,0 ,0 ,,,1 ,,1 ,,0 ,,,0 ,,0 ,,0 ,,1 ,,0 ,,1 ,,,1 ,,0 ,,0 ,,1 ,,0 ,,0 ,,0 ,,1 ,,,0 ,,0 ,,10 ,,3 ,,,,6 ,,6 ,,8 ,,3 
24 ,01 1432,广州市花都区秀全中学附属赤坭中学(三和庄校区),,,,85 ,,4 ,,,21 ,,,0 ,0 ,,,0 ,,0 ,,0 ,,,0 ,,0 ,,0 ,,1 ,,1 ,,1 ,,,0 ,,0 ,,0 ,,0 ,,0 ,,1 ,,0 ,,0 ,,,0 ,,0 ,,7 ,,1 ,,,,2 ,,6 ,,3 ,,2 
25 ,01 1433,广州市花都区炭步镇炭步初级中学,,,,132 ,,7 ,,,31 ,,,0 ,2 ,,,0 ,,0 ,,0 ,,,0 ,,0 ,,1 ,,0 ,,1 ,,0 ,,,0 ,,0 ,,0 ,,0 ,,1 ,,0 ,,1 ,,0 ,,,0 ,,1 ,,2 ,,3 ,,,,6 ,,8 ,,4 ,,8 
26 ,01 1434,广州市花都区炭步镇第二初级中学,,,,172 ,,9 ,,,42 ,,,0 ,0 ,,,0 ,,1 ,,0 ,,,0 ,,0 ,,1 ,,2 ,,2 ,,0 ,,,0 ,,1 ,,0 ,,0 ,,0 ,,1 ,,1 ,,0 ,,,0 ,,0 ,,7 ,,7 ,,,,5 ,,13 ,,5 ,,5 
27 ,01 1437,广州市花都区雅瑶中学,,,,291 ,,25 ,,,60 ,,,0 ,0 ,,,2 ,,0 ,,1 ,,,11 ,,1 ,,0 ,,1 ,,1 ,,0 ,,,0 ,,1 ,,0 ,,2 ,,1 ,,0 ,,0 ,,2 ,,,0 ,,2 ,,12 ,,2 ,,,,22 ,,5 ,,2 ,,17 
28 ,01 1438,广州市花都区圆玄中学,,,,232 ,,12 ,,,56 ,,,0 ,0 ,,,1 ,,0 ,,2 ,,,0 ,,1 ,,3 ,,2 ,,0 ,,0 ,,,0 ,,0 ,,1 ,,1 ,,0 ,,0 ,,0 ,,0 ,,,1 ,,0 ,,8 ,,11 ,,,,15 ,,3 ,,11 ,,8 
29 ,01 1439,广州市花都区秀全外国语学校,,,,675 ,,35 ,,,139 ,,,2 ,1 ,,,9 ,,0 ,,2 ,,,2 ,,2 ,,2 ,,3 ,,2 ,,0 ,,,0 ,,0 ,,1 ,,2 ,,1 ,,1 ,,2 ,,2 ,,,1 ,,0 ,,21 ,,10 ,,,,36 ,,21 ,,29 ,,22 
30 ,01 1440,广州市花都区秀雅学校,,,,390 ,,20 ,,,94 ,,,0 ,0 ,,,1 ,,4 ,,1 ,,,0 ,,2 ,,1 ,,2 ,,0 ,,0 ,,,1 ,,1 ,,2 ,,1 ,,1 ,,1 ,,1 ,,0 ,,,1 ,,0 ,,28 ,,13 ,,,,15 ,,15 ,,13 ,,10 
31 ,01 1441,广东外语外贸大学空港学校,,,,275 ,,14 ,,,57 ,,,0 ,1 ,,,0 ,,0 ,,1 ,,,0 ,,0 ,,0 ,,1 ,,0 ,,0 ,,,2 ,,0 ,,3 ,,2 ,,0 ,,1 ,,0 ,,0 ,,,1 ,,2 ,,8 ,,6 ,,,,9 ,,6 ,,15 ,,13 
32 ,01 1442,广州市花都区新雅街镜湖学校,,,,70 ,,3 ,,,14 ,,,0 ,0 ,,,1 ,,1 ,,0 ,,,0 ,,0 ,,1 ,,0 ,,0 ,,0 ,,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,,0 ,,0 ,,2 ,,3 ,,,,5 ,,2 ,,2 ,,0 
33 ,01 1444,华南师范大学附属花都学校,,,,320 ,,16 ,,,66 ,,,1 ,0 ,,,1 ,,1 ,,1 ,,,1 ,,0 ,,0 ,,0 ,,2 ,,1 ,,,1 ,,0 ,,0 ,,1 ,,1 ,,0 ,,2 ,,1 ,,,1 ,,1 ,,15 ,,6 ,,,,14 ,,10 ,,13 ,,8 
34 ,01 1445,广州市花都区邝维煜纪念中学附属雅正学校,,,,222 ,,11 ,,,53 ,,,1 ,0 ,,,0 ,,1 ,,2 ,,,0 ,,0 ,,1 ,,2 ,,0 ,,0 ,,,1 ,,0 ,,0 ,,1 ,,1 ,,0 ,,0 ,,0 ,,,0 ,,1 ,,5 ,,9 ,,,,8 ,,9 ,,12 ,,10 
35 ,01 1446,广东广雅中学(花都校区),,,,454 ,,23 ,,,94 ,,,0 ,2 ,,,1 ,,1 ,,2 ,,,1 ,,0 ,,2 ,,1 ,,0 ,,1 ,,,1 ,,0 ,,4 ,,0 ,,1 ,,3 ,,1 ,,1 ,,,0 ,,1 ,,25 ,,5 ,,,,17 ,,13 ,,21 ,,13 
36 ,01 1447,广大附中花都学校,,,,340 ,,17 ,,,70 ,,,1 ,0 ,,,2 ,,0 ,,0 ,,,0 ,,1 ,,2 ,,1 ,,3 ,,2 ,,,0 ,,1 ,,1 ,,1 ,,1 ,,0 ,,1 ,,0 ,,,0 ,,0 ,,7 ,,6 ,,,,11 ,,13 ,,18 ,,15 
37 ,01 1452,广州市花都区颐和学校,,,,41 ,,2 ,,,8 ,,,0 ,0 ,,,0 ,,0 ,,0 ,,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,1 ,,0 ,,,0 ,,1 ,,0 ,,1 ,,,,5 ,,0 ,,1 ,,1 
38 ,01 1453,广州市花都区华万学校,,,,183 ,,9 ,,,38 ,,,0 ,1 ,,,1 ,,1 ,,1 ,,,0 ,,0 ,,0 ,,1 ,,1 ,,0 ,,,0 ,,0 ,,0 ,,1 ,,0 ,,0 ,,0 ,,1 ,,,0 ,,1 ,,11 ,,3 ,,,,9 ,,6 ,,5 ,,4 
39 ,01 1454,广州市花都区花广金狮学校,,,,171 ,,9 ,,,35 ,,,1 ,0 ,,,0 ,,0 ,,1 ,,,1 ,,1 ,,0 ,,0 ,,3 ,,0 ,,,0 ,,0 ,,1 ,,0 ,,0 ,,0 ,,0 ,,1 ,,,0 ,,0 ,,3 ,,2 ,,,,10 ,,5 ,,6 ,,9 
注:各初中学校分得的名额分配计划已包含面向集团直接分配的名额.                                                                                                                                                      2026_05_12 15:21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
序号,代码,初中学校,,,,名额考生,,省市名额,,,区属名额,,,华附石牌,华附知识城,,,省实荔湾,,省实白云,,广雅荔湾,,,广雅花都,,执信越秀,,执信天河,,"二
中",,六中海珠,,六中从化,,,六中花都,,侨中,,协和,,广附,,"铁
__
越
秀",,"铁
__
番
禺",,"铁
__
白
云",,广州外国语,,,清湾智谷,,清湾智慧城,,秀全,,邝维煜本部,,,,邝维煜雅正,,新华中学,,"花
都
__
中",,圆玄
40 ,01 1455,广州市花都区花执灵格风学校,,,,113 ,,6 ,,,23 ,,,0 ,1 ,,,0 ,,0 ,,1 ,,,1 ,,1 ,,0 ,,0 ,,0 ,,0 ,,,0 ,,0 ,,0 ,,0 ,,1 ,,0 ,,0 ,,0 ,,,1 ,,0 ,,2 ,,1 ,,,,7 ,,4 ,,6 ,,3 
41 ,01 1456,广州市花都区翰林学校,,,,11 ,,1 ,,,2 ,,,0 ,0 ,,,0 ,,0 ,,0 ,,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,,1 ,,0 ,,0 ,,0 ,,,,1 ,,1 ,,0 ,,0 
42 ,01 1457,广州市花都区花广学校,,,,258 ,,13 ,,,53 ,,,0 ,0 ,,,0 ,,0 ,,0 ,,,1 ,,1 ,,1 ,,3 ,,2 ,,0 ,,,0 ,,0 ,,2 ,,1 ,,0 ,,1 ,,0 ,,1 ,,,0 ,,0 ,,7 ,,9 ,,,,13 ,,6 ,,9 ,,9 
43 ,01 1460,广州市花都区哈博学校,,,,6 ,,1 ,,,1 ,,,0 ,0 ,,,0 ,,0 ,,0 ,,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,,1 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,,0 ,,0 ,,0 ,,0 ,,,,0 ,,1 ,,0 ,,0 
44 ,01 1461,广州市花都区博雅学校,,,,3 ,,1 ,,,0 ,,,0 ,0 ,,,0 ,,0 ,,0 ,,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,,0 ,,0 ,,0 ,,1 ,,0 ,,0 ,,0 ,,0 ,,,0 ,,0 ,,0 ,,0 ,,,,0 ,,0 ,,0 ,,0 
45 ,01 1473,广州市花都区新蓝天学校,,,,4 ,,0 ,,,1 ,,,0 ,0 ,,,0 ,,0 ,,0 ,,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,,0 ,,0 ,,0 ,,0 ,,,,0 ,,0 ,,1 ,,0 
46 ,01 1475,广州市花都区志才学校,,,,0 ,,0 ,,,0 ,,,0 ,0 ,,,0 ,,0 ,,0 ,,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,,0 ,,0 ,,0 ,,0 ,,,,0 ,,0 ,,0 ,,0 
47 ,01 1478,广州市花都区花广新晖学校,,,,6 ,,1 ,,,1 ,,,0 ,0 ,,,0 ,,0 ,,0 ,,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,,0 ,,0 ,,0 ,,1 ,,0 ,,0 ,,0 ,,0 ,,,0 ,,0 ,,0 ,,1 ,,,,0 ,,0 ,,0 ,,0 
48 ,01 1480,广州市花都区凤凰学校,,,,19 ,,1 ,,,4 ,,,0 ,0 ,,,0 ,,0 ,,0 ,,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,,0 ,,1 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,,0 ,,0 ,,1 ,,0 ,,,,1 ,,0 ,,0 ,,2 
49 ,01 1483,广州市花都区新星学校,,,,5 ,,1 ,,,1 ,,,0 ,1 ,,,0 ,,0 ,,0 ,,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,,0 ,,0 ,,1 ,,0 ,,,,0 ,,0 ,,0 ,,0 
50 ,01 1484,广州市花都区阳光学校,,,,7 ,,1 ,,,1 ,,,0 ,0 ,,,0 ,,0 ,,0 ,,,0 ,,0 ,,0 ,,0 ,,1 ,,0 ,,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,,0 ,,0 ,,0 ,,0 ,,,,0 ,,0 ,,1 ,,0 
51 ,01 1485,广州市花都区华晨学校,,,,14 ,,1 ,,,3 ,,,0 ,0 ,,,0 ,,0 ,,1 ,,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,,0 ,,0 ,,2 ,,0 ,,,,1 ,,0 ,,0 ,,0 
52 ,01 1491,广州市花都区新徽弘儒学校,,,,1 ,,0 ,,,1 ,,,0 ,0 ,,,0 ,,0 ,,0 ,,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,,0 ,,0 ,,0 ,,0 ,,,,0 ,,0 ,,1 ,,0 
53 ,01 1495,广州市花都区金砖学校,,,,1 ,,1 ,,,0 ,,,0 ,0 ,,,0 ,,0 ,,0 ,,,0 ,,0 ,,0 ,,1 ,,0 ,,0 ,,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,,0 ,,0 ,,0 ,,0 ,,,,0 ,,0 ,,0 ,,0 
54 ,01 1496,广州市黄广中学,,,,597 ,,31 ,,,123 ,,,1 ,0 ,,,3 ,,0 ,,3 ,,,3 ,,0 ,,0 ,,2 ,,1 ,,2 ,,,4 ,,1 ,,0 ,,1 ,,0 ,,1 ,,1 ,,3 ,,,2 ,,3 ,,17 ,,17 ,,,,23 ,,25 ,,27 ,,14 
,O1 15,南沙区,,,,7O17,,,362 ,,,1419 ,,,11 ,,,13 ,,22 ,,16 ,,21 ,,16 ,,16 ,,24 ,,3O,,23 ,,11 ,,15 ,,    11 ,,    19 ,,24 ,,    1O,,    11 ,,    18 ,,      21 ,,,12 ,,18 ,,264 ,,26O,,,17O,,,275 ,,25O,,2OO
1 ,O1 15O1,广州市南沙第一中学,,,,546 ,,,28 ,,,1O7,,,O,,,2 ,,4 ,,1 ,,2 ,,1 ,,O,,O,,3 ,,4 ,,O,,2 ,,   1 ,,   1 ,,2 ,,   1 ,,   O,,   O,,    3 ,,,O,,1 ,,16 ,,25 ,,,9 ,,,21 ,,24 ,,12 
2 ,O1 15O3,广州市南沙黄阁中学,,,,138 ,,,7 ,,,32 ,,,O,,,O,,2 ,,O,,1 ,,1 ,,1 ,,1 ,,O,,O,,O,,O,,   O,,   1 ,,O,,   O,,   O,,   O,,    O,,,O,,O,,1O,,2 ,,,3 ,,,7 ,,5 ,,5 
3 ,O1 15O4,广州市南沙横沥中学,,,,123 ,,,6 ,,,24 ,,,O,,,O,,O,,1 ,,O,,1 ,,O,,O,,1 ,,O,,O,,1 ,,   1 ,,   O,,O,,   O,,   O,,   O,,    1 ,,,O,,O,,3 ,,4 ,,,2 ,,,5 ,,5 ,,5 
4 ,O1 15O5,广州市南沙万顷沙中学,,,,134 ,,,7 ,,,26 ,,,2 ,,,O,,O,,1 ,,O,,O,,O,,O,,O,,1 ,,O,,O,,   1 ,,   O,,O,,   O,,   O,,   1 ,,    O,,,O,,1 ,,3 ,,2 ,,,3 ,,,8 ,,4 ,,6 
5 ,O1 15O7,广州市南沙区新垦学校,,,,94 ,,,5 ,,,21 ,,,1 ,,,O,,O,,O,,1 ,,O,,1 ,,O,,O,,1 ,,O,,O,,   1 ,,   O,,O,,   O,,   O,,   O,,    O,,,O,,O,,6 ,,3 ,,,3 ,,,4 ,,3 ,,2 
6 ,O1 15O8,广东第二师范学院附属南沙珠江学校,,,,183 ,,,9 ,,,36 ,,,O,,,O,,O,,O,,1 ,,O,,O,,O,,1 ,,O,,O,,2 ,,   O,,   1 ,,O,,   1 ,,   1 ,,   O,,    1 ,,,1 ,,O,,7 ,,9 ,,,4 ,,,6 ,,6 ,,4 
7 ,O1 15O9,广州市南沙区维港青藤中学,,,,25 ,,,1 ,,,5 ,,,O,,,O,,O,,O,,O,,O,,O,,O,,O,,O,,O,,O,,   O,,   O,,O,,   1 ,,   O,,   O,,    O,,,O,,O,,2 ,,2 ,,,O,,,O,,1 ,,O
8 ,O1 151 1,广州市南沙区新徽学校,,,,3 ,,,1 ,,,O,,,O,,,O,,O,,O,,O,,O,,O,,O,,O,,O,,O,,O,,   O,,   O,,O,,   O,,   O,,   O,,    1 ,,,O,,O,,O,,O,,,O,,,O,,O,,O
9 ,O1 1512,广州外国语学校,,,,484 ,,,25 ,,,95 ,,,O,,,1 ,,1 ,,O,,3 ,,O,,2 ,,3 ,,1 ,,3 ,,2 ,,O,,   1 ,,   2 ,,2 ,,   O,,   1 ,,   1 ,,    1 ,,,O,,1 ,,13 ,,22 ,,,13 ,,,15 ,,21 ,,11 
1O,O1 1513,广州市南沙东涌中学,,,,417 ,,,22 ,,,96 ,,,1 ,,,O,,O,,O,,1 ,,O,,O,,3 ,,1 ,,O,,O,,1 ,,   2 ,,   1 ,,4 ,,   1 ,,   2 ,,   1 ,,    1 ,,,2 ,,1 ,,16 ,,19 ,,,11 ,,,23 ,,16 ,,11 
11 ,O1 1514,广州市南沙鱼窝头中学,,,,213 ,,,11 ,,,49 ,,,O,,,1 ,,O,,1 ,,O,,2 ,,O,,1 ,,O,,1 ,,O,,O,,   O,,   O,,1 ,,   O,,   1 ,,   1 ,,    1 ,,,O,,1 ,,7 ,,16 ,,,4 ,,,4 ,,9 ,,9 
12 ,O1 1515,广州市南沙鱼窝头第二中学,,,,162 ,,,8 ,,,37 ,,,O,,,O,,O,,O,,O,,1 ,,O,,1 ,,2 ,,1 ,,O,,O,,   O,,   1 ,,1 ,,   O,,   O,,   1 ,,    O,,,O,,O,,8 ,,8 ,,,6 ,,,5 ,,3 ,,7 
13 ,O1 1516,广州市南沙大岗中学,,,,1O6,,,5 ,,,21 ,,,O,,,O,,O,,O,,O,,O,,O,,O,,1 ,,O,,O,,1 ,,   O,,   1 ,,2 ,,   O,,   O,,   O,,    O,,,O,,O,,6 ,,5 ,,,2 ,,,3 ,,1 ,,4 
14 ,O1 1517,广州市南沙潭山中学,,,,272 ,,,14 ,,,53 ,,,O,,,O,,3 ,,2 ,,O,,1 ,,O,,O,,1 ,,O,,1 ,,O,,   1 ,,   1 ,,O,,   O,,   1 ,,   O,,    1 ,,,1 ,,1 ,,11 ,,13 ,,,12 ,,,7 ,,6 ,,4 
15 ,O1 1518,广州市南沙灵山中学,,,,234 ,,,12 ,,,46 ,,,O,,,1 ,,O,,O,,O,,1 ,,O,,3 ,,O,,2 ,,O,,O,,   O,,   1 ,,1 ,,   1 ,,   1 ,,   1 ,,    O,,,O,,O,,8 ,,8 ,,,5 ,,,11 ,,9 ,,5 
16 ,O1 1519,广州市南沙榄核中学,,,,39O,,,2O,,,76 ,,,O,,,O,,2 ,,2 ,,O,,O,,O,,1 ,,1 ,,3 ,,2 ,,2 ,,   O,,   O,,2 ,,   1 ,,   1 ,,   2 ,,    O,,,O,,1 ,,12 ,,17 ,,,12 ,,,15 ,,12 ,,8 
17 ,O1 152O,广州市南沙榄核第二中学,,,,2O1,,,1O,,,39 ,,,O,,,1 ,,O,,O,,1 ,,1 ,,O,,O,,1 ,,O,,1 ,,O,,   O,,   O,,O,,   1 ,,   O,,   1 ,,    2 ,,,O,,1 ,,3 ,,9 ,,,4 ,,,5 ,,9 ,,9 
18 ,O1 1524,广州市南沙区朝阳学校,,,,291 ,,,15 ,,,57 ,,,O,,,1 ,,2 ,,O,,O,,O,,1 ,,1 ,,2 ,,2 ,,1 ,,2 ,,   O,,   1 ,,O,,   O,,   O,,   1 ,,    O,,,O,,1 ,,8 ,,11 ,,,6 ,,,8 ,,11 ,,13 
19 ,O1 1525,华南师范大学附属南沙中学,,,,355 ,,,18 ,,,7O,,,1 ,,,O,,1 ,,1 ,,O,,1 ,,2 ,,1 ,,1 ,,2 ,,O,,O,,   O,,   2 ,,O,,   O,,   O,,   3 ,,    O,,,2 ,,1 ,,18 ,,7 ,,,8 ,,,17 ,,8 ,,12 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注:各初中学校分得的名额分配计划已包含面向集团直接分配的名额.                                                                                                                                                      2O26_O5_12 15:21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
序号,代码,初中学校,,,,名额考生,,省市名额,,,区属名额,,,华附石牌,,"华附
知识
城",,省实荔湾,,,省实白云,,广雅荔湾,,广雅花都,,,执信越秀,,执信天河,,"二
中",,六中海珠,,六中从化,,,六中花都,,侨中,,协和,,广附,,"铁
__
越
秀",,"铁
__
番
禺",,"铁
__
白
云",,广州外国语,,,清湾智谷,,清湾智慧城,,"南
沙
__
中",,,东涌,,,大岗,南沙华附,,二中天元,,南沙广附
2O,O1 1526,广州市南沙区芦湾新徽学校,,,,4 ,,1 ,,,O,,,O,,O,,O,,,O,,O,,O,,,O,,O,,O,,O,,O,,,O,,O,,O,,O,,O,,O,,O,,O,,,1 ,,O,,O,,,O,,,O,O,,O,,O
21 ,O1 1527,广州市南沙麒麟中学,,,,84 ,,4 ,,,19 ,,,O,,O,,O,,,O,,O,,O,,,1 ,,1 ,,O,,O,,O,,,O,,O,,O,,O,,O,,O,,1 ,,O,,,1 ,,O,,5 ,,,5 ,,,1 ,3 ,,2 ,,3 
22 ,O1 1528,广州外国语学校附属学校,,,,232 ,,12 ,,,45 ,,,1 ,,1 ,,O,,,O,,O,,O,,,O,,2 ,,O,,O,,1 ,,,O,,O,,O,,2 ,,1 ,,1 ,,1 ,,1 ,,,O,,1 ,,8 ,,,8 ,,,7 ,9 ,,8 ,,5 
23 ,O1 1529,广州市第二中学南沙天元学校,,,,472 ,,24 ,,,92 ,,,O,,1 ,,1 ,,,1 ,,4 ,,1 ,,,O,,O,,3 ,,O,,1 ,,,1 ,,1 ,,2 ,,3 ,,O,,1 ,,O,,1 ,,,1 ,,2 ,,14 ,,,14 ,,,13 ,19 ,,18 ,,14 
24 ,O1 153O,广州大学附属中学南沙实验学校,,,,514 ,,27 ,,,1O1,,,2 ,,2 ,,1 ,,,1 ,,4 ,,1 ,,,3 ,,2 ,,1 ,,1 ,,O,,,1 ,,O,,O,,2 ,,1 ,,O,,O,,2 ,,,2 ,,1 ,,21 ,,,15 ,,,11 ,22 ,,17 ,,15 
25 ,O1 1531,广州市南沙区湾区实验学校,,,,349 ,,18 ,,,68 ,,,1 ,,1 ,,1 ,,,3 ,,O,,O,,,O,,1 ,,1 ,,2 ,,2 ,,,O,,1 ,,2 ,,2 ,,O,,O,,O,,O,,,1 ,,O,,16 ,,,9 ,,,1O,16 ,,13 ,,4 
26 ,O1 1533,广州市执信中学南沙学校,,,,249 ,,13 ,,,49 ,,,1 ,,O,,2 ,,,O,,2 ,,1 ,,,1 ,,O,,O,,O,,O,,,1 ,,O,,1 ,,O,,1 ,,O,,1 ,,1 ,,,O,,1 ,,13 ,,,3 ,,,5 ,7 ,,11 ,,1O
27 ,O1 1534,广州市南沙区滨海实验学校,,,,325 ,,17 ,,,64 ,,,O,,O,,1 ,,,O,,O,,2 ,,,2 ,,O,,6 ,,O,,O,,,O,,O,,O,,O,,O,,1 ,,1 ,,3 ,,,O,,1 ,,12 ,,,9 ,,,9 ,12 ,,15 ,,7 
28 ,O1 1535,广州市南外实验学校,,,,148 ,,8 ,,,29 ,,,O,,O,,O,,,2 ,,O,,O,,,2 ,,1 ,,1 ,,O,,O,,,O,,O,,1 ,,O,,O,,O,,O,,O,,,O,,1 ,,6 ,,,7 ,,,4 ,5 ,,3 ,,4 
29 ,O1 1536,广州市南沙区金沙学校,,,,269 ,,14 ,,,62 ,,,1 ,,1 ,,1 ,,,O,,1 ,,1 ,,,O,,2 ,,2 ,,O,,O,,,1 ,,1 ,,O,,O,,O,,O,,1 ,,1 ,,,O,,1 ,,12 ,,,8 ,,,3 ,18 ,,1O,,11 
